cell_id,x,y,x_self_polarity,y_self_polarity,a,s,rac,f,f_x,f_y,fpp,f_coef,p_frac
1,130.61702127659575,94.38297872340425,0.9972486503759048,0.07412913950287267,1.0,3.8146842518709656,48.14684251872094,101.59871171214084,-101.3191781348631,-7.531425073821432,20,0.6773247447476056,0.008
2,136.56,97.22,0.5153948204603388,-0.8569528452853489,1.0,3.286013242864632,42.86013242855368,85.29401191171468,-43.96009195558018,73.09294619354633,20,0.5686267460780978,0.008
3,117.26315789473684,98.39473684210526,0.9069466717315263,-0.42124545651568396,1.0,3.88827511341452,48.88275113416525,103.56610994210166,-93.92893871617044,43.62675326211413,20,0.6904407329473444,0.008
4,136.75,89.82692307692308,0.9999440412304211,-0.010578960618790139,1.0,3.8319814801340186,48.31981480221974,102.06777655335173,-102.06206496616215,1.0797709886053795,20,0.6804518436890116,0.008
5,143.175,92.075,0.9215808988233161,-0.38818635592200934,1.0,3.787553648729563,47.87553631127606,100.8547373986067,-92.94579954239747,39.150432988236325,20,0.6723649159907114,0.008
6,144.06666666666666,84.88888888888889,0.8382287459468744,-0.5453187778431349,1.0,4.058307390251749,50.583073902478716,107.83313410530707,-90.38883277261267,58.803432901300916,20,0.7188875607020471,0.008
7,145.41304347826087,96.82608695652173,-0.22012659066511145,-0.975471313818174,1.0,3.696157268699347,46.96157268204016,98.27406450379893,21.632734770024506,95.86353081577272,20,0.6551604300253262,0.008
8,82.65957446808511,89.06382978723404,-0.8388536961523706,-0.5443569384618022,1.0,4.098911140834728,50.989111408335496,108.79574256712289,91.26371077807283,59.22371734151739,20,0.7253049504474859,0.008
9,99.85416666666667,83.125,-0.45430568550517725,-0.8908458587868449,1.0,4.101150834120367,51.011508341856995,108.8482192673092,49.45036487025275,96.96698537060486,20,0.7256547951153947,0.008
10,103.20833333333333,99.91666666666667,0.17665501871410613,-0.984272830247345,1.0,3.6873236334299087,46.873235880899976,98.01854175967473,-17.315467328884733,96.47698751451263,20,0.6534569450644983,0.008
11,103.76086956521739,92.04347826086956,-0.052407252089241685,-0.9986257957455609,1.0,4.021818005884498,50.218180004864486,106.9497369279991,5.604941824063729,106.80276614450149,20,0.7129982461866606,0.008
