cell_id,x,y,x_self_polarity,y_self_polarity,a,s,rac,f,f_x,f_y,fpp,f_coef,p_frac
1,113.05882352941177,94.76470588235294,0.9943836247601896,0.10583575392459019,1.0,0.0,10.0,1.1673151750972763,-1.160759095050805,-0.12354368162403524,20,0.0038910505836575876,0.008
2,118.97872340425532,92.87234042553192,0.8719143492696513,-0.48965841924517167,1.0,0.0,10.0,1.1673151750972763,-1.0177988512875307,0.5715857033990331,20,0.0038910505836575876,0.008
3,124.72,87.24,0.8015169950701081,-0.5979719948407152,1.0,0.0,10.0,1.1673151750972763,-0.935622951443706,0.6980217838607571,20,0.0038910505836575876,0.008
4,131.31914893617022,89.53191489361703,-0.044605628070963556,0.9990046736349109,1.0,0.0,10.0,1.1673151750972763,0.052068826541980806,-1.1661533155271333,20,0.0038910505836575876,0.008
5,137.42,90.68,-0.9192535006040933,-0.3936661042395196,1.0,0.0,10.0,1.1673151750972763,1.0730585610164514,0.45953241740021744,20,0.0038910505836575876,0.008
6,144.3877551020408,91.28571428571429,0.7039297242559822,-0.7102696271901938,1.0,0.0,10.0,1.1673151750972763,-0.8217078493260493,0.8291085142297983,20,0.0038910505836575876,0.008
7,151.86,95.1,-0.5382350003831744,0.8427948056096004,1.0,0.0,10.0,1.1673151750972763,0.6282898837157678,-0.9838071660812456,20,0.0038910505836575876,0.008
8,99.23529411764706,99.68627450980392,-0.5838318680941315,-0.8118745899446026,1.0,0.0,10.0,1.1673151750972763,0.6815157993316711,0.9477135291182132,20,0.0038910505836575876,0.008
9,105.5625,97.125,0.4493428904631733,0.8933593715802172,1.0,0.0,10.0,1.1673151750972763,-0.5245247748597354,-1.0428319512609538,20,0.0038910505836575876,0.008
10,111.57142857142857,101.6938775510204,0.9447394693521599,-0.32782210884593965,1.0,0.0,10.0,1.1673151750972763,-1.1028087190881244,0.3826717223882564,20,0.0038910505836575876,0.008
11,118.58333333333333,100.75,0.9118740878334836,-0.4104700329352343,1.0,0.0,10.0,1.1673151750972763,-1.064444460506012,0.47914789836797783,20,0.0038910505836575876,0.008
12,125.06,94.14,0.9903223099199958,-0.13878660769225437,1.0,0.0,10.0,1.1673151750972763,-1.156018260606999,0.1620077132594409,20,0.0038910505836575876,0.008
13,131.87234042553192,97.1063829787234,-0.7466341902061289,0.6652348352388335,1.0,0.0,10.0,1.1673151750972763,0.8715574204740805,-0.7765387181776268,20,0.0038910505836575876,0.008
14,138.17391304347825,99.1086956521739,-0.27814715214943425,-0.960538474893723,1.0,0.0,10.0,1.1673151750972763,0.32468539161412563,1.121251138008237,20,0.0038910505836575876,0.008
15,144.82222222222222,97.22222222222223,-0.8949553710469442,-0.4461556721977502,1.0,0.0,10.0,1.1673151750972763,1.0446949856579115,0.5208042866121598,20,0.0038910505836575876,0.008
16,152.51063829787233,101.44680851063829,-0.9780742617522563,0.20825642486554616,1.0,0.0,10.0,1.1673151750972763,1.1417209281154743,-0.2431008850570578,20,0.0038910505836575876,0.008
17,159.9375,100.02083333333333,0.18907696421737846,0.9819622709668331,1.0,0.0,10.0,1.1673151750972763,-0.2207124095922706,-1.146259460272568,20,0.0038910505836575876,0.008
18,97.38,106.04,-0.41389496594467656,-0.9103246438307901,1.0,0.0,10.0,1.1673151750972763,0.4831458746435913,1.0626357710087044,20,0.0038910505836575876,0.008
19,106.36363636363636,104.9090909090909,-0.8312764490204197,-0.5558592135640116,1.0,0.0,10.0,1.1673151750972763,0.9703616136425134,0.6488628952109085,20,0.0038910505836575876,0.008
20,113.04444444444445,108.55555555555556,-0.9031992054679822,-0.4292216155344531,1.0,0.0,10.0,1.1673151750972763,1.0543181386785785,0.5010369052931359,20,0.0038910505836575876,0.008
21,120.46511627906976,107.04651162790698,0.134359602480733,0.9909326401028574,1.0,0.0,10.0,1.1673151750972763,-0.1568400028957973,-1.1567307082912732,20,0.0038910505836575876,0.008
22,125.38297872340425,101.65957446808511,0.5767909556404338,0.8168917881160239,1.0,0.0,10.0,1.1673151750972763,-0.6732968353779384,-0.9535701806801836,20,0.0038910505836575876,0.008
23,131.45652173913044,104.17391304347827,-0.020809968241818286,0.999783449163755,1.0,0.0,10.0,1.1673151750972763,0.024291791721966872,-1.1670623920199474,20,0.0038910505836575876,0.008
24,137.51111111111112,106.28888888888889,-0.11917379525782706,-0.9928734091130881,1.0,0.0,10.0,1.1673151750972763,0.13911337967839735,1.158996197408274,20,0.0038910505836575876,0.008
25,144.56521739130434,103.19565217391305,0.170637748268565,0.9853338311789736,1.0,0.0,10.0,1.1673151750972763,-0.19918803299832494,-1.1501951336719536,20,0.0038910505836575876,0.008
26,152.17391304347825,107.04347826086956,-0.9710646951905952,-0.23881657763730793,1.0,0.0,10.0,1.1673151750972763,1.133538554697193,0.2787742151408264,20,0.0038910505836575876,0.008
27,159.375,107.5,-0.9999996849818164,-0.000793748239789886,1.0,0.0,10.0,1.1673151750972763,1.16731480737177,0.0009265543655134857,20,0.0038910505836575876,0.008
28,165.93617021276594,108.2127659574468,0.13859058619322115,-0.9903497611544213,1.0,0.0,10.0,1.1673151750972763,-0.1617788943889741,1.1560503048495192,20,0.0038910505836575876,0.008
29,92.10416666666667,111.89583333333333,-0.1643450381083179,0.9864029138486846,1.0,0.0,10.0,1.1673151750972763,0.19184245693577967,-1.1514430900957409,20,0.0038910505836575876,0.008
